# 傾聴の相づち語彙。<語>\t<重み>。
#
# 実データ（scripts/2026-09-15/real_aizuchi_examples.md、タイムスタンプ付き
# 書き起こしから相槌部分だけを抜いたもの）に実際に現れた形を中心に組む。前の
# バージョンは「族ごとに伸ばし・重ね・余韻を機械的に割る」という自分の分類で
# 作ってしまい、実際に起きている組み合わせ（「そっか、そっかー」のような
# 異なる相槌の連結、「そうかー」という別発音）を取りこぼしていた。
#
# 「…」は実データの書き起こしには一度も出てこない（句点・読点・伸ばし棒のみ）。
# 聴いた上で効果が確認できた語にだけ残してある。全部には付けない。
#
# 重みは実データでの出現頻度の目安（正確な度数ではなく、observed/rare の相対値）。

# うん族 -- 一番多く、裸のまま連続して出ることも普通
うん	10
うんー	3
うー	3
うんうん	5
うん、うん	4

# うーん族
うーん	7
んー	3

# そっか族 -- 「そうか」という別発音も実在する
そっか	8
そっかー	5
そうかー	3
そっか、そっか	4
そっか、そっかー	3
あーそっか	3
うーん、そっか	3

# 効果が確認できている「…」（TTS の演出として。実データの表記ではない）
そっか…	4
うん…	4
うーん…	4

# あー族・その他
あー	3
あーなるほど	2
なるほど	2

# 硬い受け
はい	2
はい、はい	2
